POB,PM,PC,GEN,SEL,Avg_Fit
100,0.1,0.7,100,1,187.0
100,0.1,0.7,100,2,187.0
100,0.1,0.7,200,1,187.0
100,0.1,0.7,200,2,187.0
100,0.1,0.7,500,1,187.0
100,0.1,0.7,500,2,187.0
100,0.1,0.7,1000,1,187.0
100,0.1,0.7,1000,2,187.0
100,0.1,0.9,100,1,187.0
100,0.1,0.9,100,2,187.0
100,0.1,0.9,200,1,187.0
100,0.1,0.9,200,2,187.0
100,0.1,0.9,500,1,187.0
100,0.1,0.9,500,2,209.0
100,0.1,0.9,1000,1,360.0
100,0.1,0.9,1000,2,187.0
100,0.2,0.5,100,1,187.0
100,0.2,0.5,100,2,187.0
100,0.2,0.5,200,1,187.0
100,0.2,0.5,200,2,187.0
100,0.2,0.5,500,1,252.6
100,0.2,0.5,500,2,269.0
100,0.2,0.5,1000,1,187.0
100,0.2,0.5,1000,2,187.0
100,0.2,0.7,100,1,187.0
100,0.2,0.7,100,2,187.0
100,0.2,0.7,200,1,187.0
100,0.2,0.7,200,2,187.0
100,0.2,0.7,500,1,187.0
100,0.2,0.7,500,2,187.0
100,0.2,0.7,1000,1,187.0
100,0.2,0.7,1000,2,269.0
100,0.2,0.9,100,1,187.0
100,0.2,0.9,100,2,187.0
100,0.2,0.9,200,1,187.0
100,0.2,0.9,200,2,187.0
100,0.2,0.9,500,1,187.0
100,0.2,0.9,500,2,191.4
100,0.2,0.9,1000,1,269.0
100,0.2,0.9,1000,2,325.4
200,0.01,0.5,100,1,187.0
200,0.01,0.5,100,2,187.0
200,0.01,0.5,200,1,187.0
200,0.01,0.5,200,2,187.0
200,0.01,0.5,500,1,187.0
200,0.01,0.5,500,2,187.0
200,0.01,0.5,1000,1,187.0
200,0.01,0.5,1000,2,187.0
200,0.01,0.7,100,1,187.0
200,0.01,0.7,100,2,187.0
200,0.01,0.7,200,1,187.0
200,0.01,0.7,200,2,187.0
200,0.01,0.7,500,1,187.0
200,0.01,0.7,500,2,187.0
200,0.01,0.7,1000,1,187.0
200,0.01,0.7,1000,2,187.0
200,0.01,0.9,100,1,187.0
200,0.01,0.9,100,2,187.0
200,0.01,0.9,200,1,187.0
200,0.01,0.9,200,2,187.0
200,0.01,0.9,500,1,187.0
200,0.01,0.9,500,2,187.0
200,0.01,0.9,1000,1,187.0
200,0.01,0.9,1000,2,187.0
200,0.05,0.5,100,1,187.0
200,0.05,0.5,100,2,187.0
200,0.05,0.5,200,1,187.0
200,0.05,0.5,200,2,187.0
200,0.05,0.5,500,1,187.0
200,0.05,0.5,500,2,256.2
200,0.05,0.5,1000,1,256.2
200,0.05,0.5,1000,2,221.6
200,0.05,0.7,100,1,187.0
200,0.05,0.7,100,2,187.0
200,0.05,0.7,200,1,187.0
200,0.05,0.7,200,2,187.0
200,0.05,0.7,500,1,187.0
200,0.05,0.7,500,2,187.0
200,0.05,0.7,1000,1,256.2
200,0.05,0.7,1000,2,256.2
200,0.05,0.9,100,1,187.0
200,0.05,0.9,100,2,187.0
200,0.05,0.9,200,1,187.0
200,0.05,0.9,200,2,187.0
200,0.05,0.9,500,1,325.4
200,0.05,0.9,500,2,221.6
200,0.05,0.9,1000,1,187.0
200,0.05,0.9,1000,2,187.0
200,0.1,0.5,100,1,187.0
200,0.1,0.5,100,2,187.0
200,0.1,0.5,200,1,187.0
200,0.1,0.5,200,2,187.0
200,0.1,0.5,500,1,187.0
200,0.1,0.5,500,2,187.0
200,0.1,0.5,1000,1,290.8
200,0.1,0.5,1000,2,290.8
200,0.1,0.7,100,1,187.0
200,0.1,0.7,100,2,187.0
200,0.1,0.7,200,1,187.0
200,0.1,0.7,200,2,187.0
200,0.1,0.7,500,1,221.6
200,0.1,0.7,500,2,221.6
200,0.1,0.7,1000,1,187.0
200,0.1,0.7,1000,2,256.2
200,0.1,0.9,100,1,187.0
200,0.1,0.9,100,2,187.0
200,0.1,0.9,200,1,187.0
200,0.1,0.9,200,2,187.0
200,0.1,0.9,500,1,360.0
200,0.1,0.9,500,2,187.0
200,0.1,0.9,1000,1,360.0
200,0.1,0.9,1000,2,187.0
200,0.2,0.5,100,1,187.0
200,0.2,0.5,100,2,187.0
200,0.2,0.5,200,1,360.0
200,0.2,0.5,200,2,187.0
200,0.2,0.5,500,1,256.2
200,0.2,0.5,500,2,233.0
200,0.2,0.5,1000,1,256.2
200,0.2,0.5,1000,2,191.4
200,0.2,0.7,100,1,187.0
200,0.2,0.7,100,2,187.0
200,0.2,0.7,200,1,187.0
200,0.2,0.7,200,2,187.0
200,0.2,0.7,500,1,299.6
200,0.2,0.7,500,2,236.2
200,0.2,0.7,1000,1,187.0
200,0.2,0.7,1000,2,187.0
200,0.2,0.9,100,1,187.0
200,0.2,0.9,100,2,187.0
200,0.2,0.9,200,1,269.0
200,0.2,0.9,200,2,203.4
200,0.2,0.9,500,1,187.0
200,0.2,0.9,500,2,187.0
200,0.2,0.9,1000,1,256.2
200,0.2,0.9,1000,2,260.6
500,0.01,0.5,100,1,187.0
500,0.01,0.5,100,2,187.0
500,0.01,0.5,200,1,187.0
500,0.01,0.5,200,2,187.0
500,0.01,0.5,500,1,187.0
500,0.01,0.5,500,2,187.0
500,0.01,0.5,1000,1,187.0
500,0.01,0.5,1000,2,187.0
500,0.01,0.7,100,1,187.0
500,0.01,0.7,100,2,187.0
500,0.01,0.7,200,1,290.8
500,0.01,0.7,200,2,187.0
500,0.01,0.7,500,1,187.0
500,0.01,0.7,500,2,187.0
500,0.01,0.7,1000,1,187.0
500,0.01,0.7,1000,2,187.0
500,0.01,0.9,100,1,187.0
500,0.01,0.9,100,2,187.0
500,0.01,0.9,200,1,187.0
500,0.01,0.9,200,2,187.0
500,0.01,0.9,500,1,187.0
500,0.01,0.9,500,2,187.0
500,0.01,0.9,1000,1,187.0
500,0.01,0.9,1000,2,187.0
500,0.05,0.5,100,1,187.0
500,0.05,0.5,100,2,360.0
500,0.05,0.5,200,1,187.0
500,0.05,0.5,200,2,187.0
500,0.05,0.5,500,1,290.8
500,0.05,0.5,500,2,256.2
500,0.05,0.5,1000,1,290.8
500,0.05,0.5,1000,2,325.4
500,0.05,0.7,100,1,187.0
500,0.05,0.7,100,2,360.0
500,0.05,0.7,200,1,187.0
500,0.05,0.7,200,2,325.4
500,0.05,0.7,500,1,256.2
500,0.05,0.7,500,2,290.8
500,0.05,0.7,1000,1,290.8
500,0.05,0.7,1000,2,360.0
500,0.05,0.9,100,1,187.0
500,0.05,0.9,100,2,256.2
500,0.05,0.9,200,1,187.0
500,0.05,0.9,200,2,256.2
500,0.05,0.9,500,1,290.8
500,0.05,0.9,500,2,290.8
500,0.05,0.9,1000,1,290.8
500,0.05,0.9,1000,2,360.0
500,0.1,0.5,100,1,187.0
500,0.1,0.5,100,2,187.0
500,0.1,0.5,200,1,187.0
500,0.1,0.5,200,2,360.0
500,0.1,0.5,500,1,290.8
500,0.1,0.5,500,2,290.8
500,0.1,0.5,1000,1,290.8
500,0.1,0.5,1000,2,290.8
