Imagen,Centro_X,Centro_Y,Radio,Fitness
../imgs/auto.bmp,523.17,165.5,63.17,189.0
../imgs/auto.bmp,523.73,165.19,62.7,167.0
../imgs/auto.bmp,523.1,165.45,63.29,189.0
../imgs/auto.bmp,523.26,165.05,62.46,167.0
../imgs/auto.bmp,523.56,165.17,63.41,189.0
../imgs/auto.bmp,523.04,165.04,63.08,189.0
../imgs/auto.bmp,523.4,165.31,63.28,189.0
../imgs/auto.bmp,523.79,165.24,63.47,189.0
../imgs/lamp.bmp,284.02,202.02,66.39,156.0
../imgs/lamp.bmp,243.07,56.15,57.17,96.0
../imgs/lamp.bmp,284.12,203.01,66.17,156.0
../imgs/lamp.bmp,269.81,40.53,41.99,95.0
../imgs/lamp.bmp,243.51,56.59,57.21,96.0
../imgs/lamp.bmp,212.62,70.82,71.02,96.0
../imgs/lamp.bmp,243.56,56.18,57.33,96.0
../imgs/lamp.bmp,225.57,58.74,59.21,103.0
../imgs/lamp.bmp,242.89,53.19,54.0,95.0
../imgs/lamp.bmp,284.63,203.57,66.79,156.0
../imgs/lamp.bmp,284.11,203.32,66.12,156.0
../imgs/lamp.bmp,241.62,55.58,56.44,92.0
../imgs/lamp.bmp,285.67,203.23,66.8,169.0
../imgs/lamp.bmp,284.61,202.52,66.62,156.0
../imgs/lamp.bmp,284.16,202.61,66.64,156.0
../imgs/lamp.bmp,285.11,204.14,67.32,169.0
../imgs/lamp.bmp,284.31,202.89,66.32,156.0
../imgs/lamp.bmp,284.33,202.85,66.87,156.0
../imgs/lamp.bmp,253.52,46.86,47.81,92.0
../imgs/lamp.bmp,285.27,203.76,66.12,169.0
../imgs/lamp.bmp,284.58,203.09,66.78,156.0
../imgs/lamp.bmp,243.99,56.69,57.95,96.0
../imgs/lamp.bmp,284.33,204.19,67.33,145.0
../imgs/lamp.bmp,248.62,53.71,54.75,94.0
../imgs/lamp.bmp,284.12,202.71,66.13,156.0
../imgs/lamp.bmp,227.62,60.57,61.45,98.0
../imgs/lamp.bmp,225.74,58.23,59.6,103.0
../imgs/lamp.bmp,284.54,202.69,66.62,156.0
../imgs/lamp.bmp,284.45,202.25,66.25,156.0
../imgs/lamp.bmp,243.94,56.23,57.12,96.0
../imgs/lamp.bmp,212.62,70.85,71.6,96.0
../imgs/lamp.bmp,230.88,44.77,45.35,91.0
../imgs/lamp.bmp,213.0,70.9,71.35,96.0
../imgs/lamp.bmp,285.19,203.01,66.29,169.0
../imgs/lamp.bmp,285.08,202.02,66.3,136.0
../imgs/lamp.bmp,248.0,54.03,55.11,92.0
../imgs/lamp.bmp,227.86,60.97,61.48,98.0
../imgs/lamp.bmp,284.61,202.52,66.52,156.0
../imgs/lamp.bmp,226.0,58.03,59.51,103.0
../imgs/lamp.bmp,284.5,203.5,66.88,156.0
../imgs/lamp.bmp,227.48,60.89,61.56,98.0
../imgs/lamp.bmp,243.06,56.86,57.17,96.0
../imgs/lamp.bmp,241.53,55.63,56.54,92.0
../imgs/lamp.bmp,284.6,202.84,66.46,156.0
../imgs/lamp.bmp,225.17,58.53,59.35,103.0
../imgs/lamp.bmp,244.43,53.97,54.03,93.0
../imgs/lamp.bmp,225.4,58.78,59.55,103.0
../imgs/lamp.bmp,284.61,202.27,66.39,156.0
../imgs/lamp.bmp,285.26,203.3,66.44,169.0
../imgs/lamp.bmp,284.38,202.91,66.38,156.0
../imgs/lamp.bmp,284.58,202.22,66.83,156.0
../imgs/lamp.bmp,284.99,205.09,68.56,123.0
../imgs/lamp.bmp,232.5,47.38,48.76,93.0
../imgs/lamp.bmp,285.1,203.12,66.5,169.0
../imgs/lamp.bmp,285.34,204.66,67.27,169.0
../imgs/lamp.bmp,241.83,55.98,56.1,92.0
../imgs/lamp.bmp,243.94,56.71,57.96,96.0
../imgs/lamp.bmp,285.79,204.43,67.93,169.0
../imgs/lamp.bmp,227.05,60.38,61.75,98.0
../imgs/lamp.bmp,284.35,203.22,66.49,156.0
../imgs/lamp.bmp,233.62,44.55,45.38,95.0
../imgs/lamp.bmp,260.54,49.12,50.03,92.0
../imgs/lamp.bmp,224.81,58.33,59.05,92.0
../imgs/lamp.bmp,212.0,70.85,71.05,96.0
../imgs/lamp.bmp,227.85,60.97,61.19,98.0
../imgs/lamp.bmp,284.58,202.27,66.44,156.0
../imgs/lamp.bmp,284.4,202.3,66.28,156.0
../imgs/lamp.bmp,230.0,44.81,45.4,91.0
../imgs/lamp.bmp,225.85,58.44,59.95,103.0
../imgs/lamp.bmp,285.3,203.27,66.49,169.0
../imgs/lamp.bmp,225.34,58.31,59.21,103.0
../imgs/lamp.bmp,227.26,60.57,61.61,98.0
../imgs/lamp.bmp,285.28,204.01,67.58,169.0
../imgs/lamp.bmp,284.68,202.22,66.56,156.0
../imgs/lamp.bmp,284.39,203.21,66.2,156.0
../imgs/lamp.bmp,285.05,203.12,66.01,169.0
../imgs/lamp.bmp,269.53,40.63,41.01,95.0
../imgs/lamp.bmp,269.66,40.34,41.54,95.0
../imgs/lamp.bmp,284.23,202.69,66.33,156.0
../imgs/lamp.bmp,252.87,61.69,62.1,94.0
../imgs/lamp.bmp,283.63,201.03,65.22,109.0
../imgs/lamp.bmp,242.2,53.1,54.41,95.0
../imgs/lamp.bmp,243.55,57.29,57.47,91.0
../imgs/lamp.bmp,243.5,56.51,57.3,96.0
../imgs/lamp.bmp,284.95,202.55,66.64,156.0
../imgs/lamp.bmp,284.5,202.02,66.03,156.0
../imgs/lamp.bmp,242.3,53.35,54.75,95.0
../imgs/lamp.bmp,285.47,203.6,66.98,169.0
../imgs/lamp.bmp,284.4,202.74,66.6,156.0
